model,make,model_variant,price,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,has_discount,certifications,volts_ac,kw_ac
NOVO,Atess,EVA-11D-SE/PE,1412,16.0,Pedestal,16,Hardwired,J1772,True,1,True,False,False,"CE, RCM",400.0,11.0
NOVO,Atess,EVA-22D-SE/PE,1592,32.0,Pedestal,16,Hardwired,J1772,True,1,True,False,False,"CE, RCM",400.0,22.0
NOVO,Atess,EVA-07D-SEW/PEW,1324,32.0,Wall mounted,16,Hardwired,J1772,True,1,True,False,False,"CE,RCM",230.0,7.3
NOVO,Atess,EVA-22D-SEW/PEW,1392,32.0,Wall mounted,16,Hardwired,J1772,True,1,True,False,False,"CE,RCM",400.0,22.0
EV-550,Gateway International 360,W,3675,80.0,Pedestal,18,Hardwired,J1772,True,3,True,True,False,"UL,FCC",240.0,19.2
EV-550,Gateway International 360,C,3675,80.0,Pedestal,18,Hardwired,J1772,False,3,True,True,False,"UL,FCC",240.0,19.2
EV-500,Gateway International 360,W,2361,48.0,Pedestal,18,Hardwired,J1772,True,3,True,True,False,"UL,FCC",240.0,11.5
EV-500,Gateway International 360,C,2361,48.0,Pedestal,18,Hardwired,J1772,False,3,True,True,False,"UL,FCC",240.0,11.5
Residential Series,ZEF Energy,ZEFNET-40-U,2625,32.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cUL,UL",240.0,7.7
Residential Series,ZEF Energy,ZEFNET-60-U,3015,48.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cUL,UL",240.0,11.5
Residential Series,ZEF Energy,ZEFNET-80-U,3245,64.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cUL,UL",240.0,15.4
Residential Series,ZEF Energy,ZEFNET-100-C,4274,80.0,Wall mounted,25,Hardwired,J1772,True,5,True,True,False,"cUL,UL",240.0,19.2
Pro Series,ZEF Energy,ZEFNET-40-PRO,9075,32.0,Wall mounted,23,Hardwired,J1772,True,5,True,True,False,"cETL,ETL",240.0,15.4
Pro Series,ZEF Energy,ZEFNET-60-PRO,9855,48.0,Wall mounted,23,Hardwired,J1772,True,5,True,True,False,"cETL,ETL",240.0,23.0
Pro Series,ZEF Energy,ZEFNET-80-PRO,10325,64.0,Wall mounted,23,Hardwired,J1772,True,5,True,True,False,"cETL,ETL",240.0,30.8
Power K-Series,ZEF Energy,Movable Charger,28336,,Portable,23,Hardwired,"CCS1,CHAdeMO",True,5,True,True,False,UL,,
