model,charger_id,make,model_variant,price,price_src,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,details_link,spec_src,img,has_discount,discount_value,discount_code,certifications,volts_ac,kw_ac,incentives
Black Mamba,WattZilla_Black_Mamba_48_AMP,WattZilla,48-AMP,1199,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,48.0,Portable,25,14-60,J1772,False,1,False,True,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,https://assets.zappyride.com/img/chargers/WattZilla%20Black%20Mamba.png,False,0,,"cUL, UL",240.0,11.5,[]
Home X5,FLO_Home_X5_Tungsten,FLO,,995,https://store.us.flo.com/products/flo-home-x5,30.0,Wall mounted,25,Hardwired,J1772,True,5,True,False,https://store.us.flo.com/products/flo-home-x5,,https://assets.zappyride.com/img/chargers/FLO_Home_X5_Tungsten.png,False,0,,"CSA, Energy Star, UL",240.0,7.2,[]
Home G5,FLO_Home_G5,FLO,,795,https://store.us.flo.com/products/flo-home-g5,30.0,Wall mounted,25,Hardwired,J1772,False,5,True,False,https://store.us.flo.com/products/flo-home-g5,,https://assets.zappyride.com/img/chargers/FLO_Home_G5.png,False,0,,"CSA, Energy Star, UL",240.0,7.2,[]
HCS-80,ClipperCreek_HCS_80_,Enphase,,1176,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-80-ev-charger,64.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-80-ev-charger,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-80-ev-charger,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-80.png,False,0,,"cETL, Energy Star, ETL",240.0,15.4,[]
HCS-D40,ClipperCreek_HCS_D40_,Enphase,,1484,https://enphase.com/store/ev-chargers/commercial-ev-chargers/clippercreek-hcs-d40-dual-32-hardwired-25-ft-cables,32.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/clippercreek-hcs-d40p-dual-ev-charger-nema-14-50-plug-32,https://enphase.com/store/ev-chargers/clippercreek-ev-chargers,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-D40.png,False,0,,"cETL, Energy Star, ETL",240.0,7.7,[]
HCS-D40,ClipperCreek_HCS_D40_P,Enphase,P,1506,https://enphase.com/store/clippercreek-hcs-d40p-dual-ev-charger-nema-14-50-plug-32,32.0,Wall mounted,25,"6-50, 14-50",J1772,False,3,True,True,https://store.clippercreek.com/residential/dual-ev-charging-station-nema-14-50-plug?limit=100,https://enphase.com/store/ev-chargers/residential-ev-chargers,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-D40P.png,False,0,,"cETL, Energy Star, ETL",240.0,7.7,[]
VersiCharge,Siemens_VersiCharge__VCSG30GRYUW,Siemens,VCSG30GRYUW,1199,https://www.amazon.com/Siemens-VCSG30GRYUW-Versicharge-Electric-Vehicle/dp/B019DKKR7S?link=ce,30.0,Wall mounted,20,6-50,J1772,True,3,True,False,https://www.amazon.com/Siemens-VCSG30GRYUW-Versicharge-Electric-Vehicle/dp/B019DKKR7S?link=ce,https://new.siemens.com/us/en/products/energy/topics/transportation-electrification/versicharge-solutions.html,https://assets.zappyride.com/img/chargers/Siemens_VersiCharge%20VCSG30GRYUW.png,False,0,,UL,240.0,7.2,[]
TurboDX,Webasto_TurboDX_16_Amp_15_ft,Webasto,16 Amp 15',359,https://store.evsolutions.com/turbodx---16-amps---15ft-cable-ul-listed-p105.aspx,16.0,Wall mounted,15,Hardwired,J1772,False,3,True,False,https://store.evsolutions.com/turbodx---16-amps---15ft-cable-ul-listed-p105.aspx,https://store.evsolutions.com/turbodx---16-amps---15ft-cable-ul-listed-p105.aspx,https://assets.zappyride.com/img/chargers/Webasto%20TurboDX%2016%20Amp%2015%20ft.png,False,0,,"cUL, UL",240.0,3.8,[]
TurboDX,Webasto_TurboDX_16_Amp_25_ft,Webasto,16 Amp 25',379,https://store.evsolutions.com/turbodx---16-amps---25ft-cable-ul-listed-p102.aspx,16.0,Wall mounted,25,Hardwired,J1772,False,3,True,False,https://store.evsolutions.com/turbodx---16-amps---25ft-cable-ul-listed-p102.aspx,https://store.evsolutions.com/turbodx---16-amps---25ft-cable-ul-listed-p102.aspx,https://assets.zappyride.com/img/chargers/Webasto%20TurboDX%2016%20Amp%2025%20ft.png,False,0,,"cUL, UL",240.0,3.8,[]
EV400 Series,Bosch_EV400_Series_32A_25_ft,Bosch,32A / 25',921,https://www.amazon.com/Bosch-Automotive-EL-52503-Charging-Station/dp/B07PQ94RWW?th=1,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,True,https://www.boschevsolutions.com/charging-stations/ev400-series?sku=EL-52503,https://www.boschevsolutions.com/charging-stations/ev400-series?sku=EL-52503,https://assets.zappyride.com/img/chargers/Bosch%20EV400%20Series%2032A%2025%20ft.png,False,0,,UL,264.0,7.6,[]
Home Flex,ChargePoint_Home_Flex,ChargePoint,,549,https://www.chargepoint.com/drivers/home/chargepoint-home-flex,50.0,Wall mounted,23,"6-50, 14-50, Hardwired",J1772,True,3,True,False,https://www.chargepoint.com/drivers/home/chargepoint-home-flex/,https://www.chargepoint.com/files/datasheets/ds-home.pdf,https://assets.zappyride.com/img/chargers/ChargePoint%20Home%20Flex.png,False,0,,"cUL, Energy Star, UL",240.0,11.5,[]
