Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP
Chevrolet,Silverado First-Edition RST,,708 km,$0,"$117,571"
Chrysler,Pacifica PHEV Pinnacle,51 km,835 km,$0,"$73,495"
Ford,F-150 Lightning LARIAT,,515 km,$0,"$95,595"
Ford,F-150 Lightning Platinum,,483 km,$0,"$110,495"
Ford,F-150 Lightning XLT,,386 km,"$5,000","$69,995"
Ford,Mustang Mach E GT Extended Range AWD,,451 km,"$5,000","$69,995"
Ford,Mustang Mach E Premium Extended Range AWD,,483 km,"$5,000","$64,995"
Ford,Mustang Mach E Rally Extended Range AWD,,426 km,$0,"$74,995"
Genesis,Electrified G80 Prestige AWD,,454 km,$0,"$105,000"
Genesis,Electrified GV70 Prestige AWD,,383 km,$0,"$84,500"
Genesis,GV60 Performance AWD,,378 km,$0,"$80,500"
GMC,Hummer EV Pickup Truck 2X,,500 km,$0,"$131,098"
GMC,Hummer EV Pickup Truck 3X,,613 km,$0,"$157,598"
GMC,Hummer EV SUV 2X,,488 km,$0,"$131,098"
GMC,Hummer EV SUV 3X,,505 km,$0,"$144,098"
Honda,Prologue Touring,,439 km,"$5,000","$69,990"
Jaguar,I-Pace HSE,,381 km,$0,"$103,700"
Jeep,Wrangler PHEV 4xe 4-Door High Altitude,35 km,592 km,$0,"$84,720"
Jeep,Wrangler PHEV 4xe 4-Door Rubicon,35 km,592 km,$0,"$75,720"
Jeep,Wrangler PHEV 4xe 4-Door Rubicon X,35 km,592 km,$0,"$85,215"
Jeep,Wrangler PHEV 4xe 4-Door Sahara,35 km,592 km,"$2,500","$64,995"
Jeep,Wrangler PHEV 4xe 4-Door Willys,35 km,592 km,"$2,500","$64,995"
Kia,EV6 GT AWD,,332 km,$0,"$76,495"
Kia,EV9 Land AWD,,451 km,"$5,000","$64,995"
Lexus,RX 450h+,60 km,878 km,$0,"$90,235"
Lucid,Air Sapphire,,687 km,$0,"$327,300"
Mercedes-Benz,EQB300 4MATIC SUV,,330 km,"$5,000","$64,990"
Mercedes-Benz,GLE-Class GLE450e,77 km,740 km,$0,"$90,100"
Nissan,Ariya Evolve+ E-4orce,,438 km,"$5,000","$64,998"
Tesla,Model 3 Performance AWD,,476 km,$0,"$69,990"
Tesla,Model S AWD,,647 km,$0,"$103,990"
Tesla,Model S Plaid,,578 km,$0,"$124,990"
Tesla,Model X AWD,,539 km,$0,"$110,990"
Tesla,Model X Plaid,,525 km,$0,"$131,990"
Tesla,Model Y Long Range AWD,,497 km,$0,"$63,990"
Tesla,Model Y Performance,,459 km,"$5,000","$68,990"
VinFast,VF9 Eco,,531 km,$0,"$74,890"
VinFast,VF9 Plus,,468 km,$0,"$78,890"
Volvo,EC40 Ultra Black Edition,,431 km,$0,"$76,750"
Volvo,EX90 Plus Twin Motor Performance,,499 km,$0,"$115,600"
Volvo,S60 Recharge Ultra Black Edition,64 km,856 km,$0,"$72,050"
Volvo,S90 Recharge Plus,61 km,809 km,$0,"$79,250"
Volvo,V60 Recharge Polestar Engineered,64 km,856 km,$0,"$85,000"
Volvo,XC60 Recharge Polestar Engineered,58 km,896 km,$0,"$92,000"
Volvo,XC60 Recharge Ultra Black Edition,58 km,896 km,$0,"$83,950"
Volvo,XC90 Recharge Ultra,53 km,856 km,$0,"$93,450"
