Station Name,Street Address,City,State,Zip,Latitude,Longitude,EV Connector Types,EV Network,Status,Open Date
Swtch Energy,21 Century Cl,Spruce Grove,AB,T7X0G6,43.6723044,-79.388785,J1772,SWTCH,E,2023-05-26
Swtch Energy,220 Blvd Montréal,Lachine,QC,H8S1B8,45.4422645,-73.6509541,J1772,SWTCH,P,2023-10-01
Swtch Energy,23213 Lougheed Hwy,Maple Ridge,BC,V2W1A8,49.2003704,-122.5770673,J1772,SWTCH,E,2023-05-05
Swtch Energy,315 Jespersen Ave,Spruce Grove,AB,T7X3E8,53.5449258,-113.9012736,J1772,SWTCH,E,2023-05-23
Swtch Energy,4020 Bayview St,Richmond,BC,V7E1T7,49.1234866,-123.1803046,J1772,SWTCH,E,2023-04-24
Swtch Energy,410 King St,Spruce Grove,AB,T7X3E8,53.5451646,-113.8998342,J1772,SWTCH,E,2023-05-24
Swtch Energy,4180 Bayview St,Richmond,BC,V7E6T1,49.1240815,-123.1835396,J1772,SWTCH,E,2023-04-24
Swtch Energy,4650 Kingsway,Burnaby,BC,V5H4L9,49.2289211,-123.002018,J1772,SWTCH,E,2023-04-25
Swtch Energy,5353 John Lucas Dr,Burlington,ON,L7L6A8,43.3961479,-79.766871,J1772,SWTCH,E,2023-05-15
Swtch Energy,816 Government St,Victoria,BC,V8W1W9,48.4233408,-123.3690561,J1772,SWTCH,P,2023-10-01
Swtch Energy,855 Village Dr,Port Coquitlam,BC,V3B0G9,49.2524566,-122.737076,J1772,SWTCH,E,2023-06-02
Swtch Energy,400 Happy Valley Rd,Kootenay Boundary,BC,V0E2G0,49.7173,-118.92489,J1772,SWTCH,E,2023-05-09
Swtch Energy,8875 Torbram Rd,Brampton,ON,L6T4G1,43.7339605,-79.7062824,J1772,SWTCH,P,2023-10-01
Swtch Energy,9 Agrena Rd,Spruce Grove,AB,T7X2C6,53.5475286,-113.8976246,J1772,SWTCH,E,2023-05-30
Swtch Energy,31601 Walmsley Ave,Abbotsford,BC,V2T6G5,49.0248103,-122.3495829,J1772,SWTCH,E,2023-02-10
RECHARGECO NEW-RICHMOND 02,120 Bd Perron O,New Richmond,QC,G0C 2B0,48.162796,-65.858894,"CHADEMO, J1772COMBO",ChargePoint Network,E,2023-07-26
THE POST P2 STALL 225,658 Homer St,Vancouver,BC,V6B 2R4,49.280846,-123.113845,J1772,ChargePoint Network,E,2023-07-26
THE POST P6 STALL 62-63,1 Hamilton St,Vancouver,BC,V6B 2R4,49.28099,-123.113138,J1772,ChargePoint Network,E,2023-07-26
THE POST P6 STALL 56-57,1 Hamilton St,Vancouver,BC,V6B 2R4,49.281033,-123.11314,J1772,ChargePoint Network,E,2023-07-26
THE POST P5 STALL 25-26,1 Hamilton St,Vancouver,BC,V6B 2R4,49.281025,-123.113152,J1772,ChargePoint Network,E,2023-07-26
SAUBLE FALLS PK WEST BATHROOM,1400 Sauble Falls Rd,Wiarton,ON,N0H 2T0,44.673187,-81.25736,J1772,ChargePoint Network,T,2023-07-27
